Date,Title,Artist,Weeks_On_Chart,Last_Week_Rank
2012-08-18,Call Me Maybe,Carly Rae Jepsen,24,
2012-08-11,Call Me Maybe,Carly Rae Jepsen,23,
2012-08-04,Call Me Maybe,Carly Rae Jepsen,22,
2012-07-28,Call Me Maybe,Carly Rae Jepsen,21,
2012-07-21,Call Me Maybe,Carly Rae Jepsen,20,
2012-07-14,Call Me Maybe,Carly Rae Jepsen,19,
2012-07-07,Call Me Maybe,Carly Rae Jepsen,18,
2012-06-30,Call Me Maybe,Carly Rae Jepsen,17,
2012-06-23,Call Me Maybe,Carly Rae Jepsen,16,2
2012-06-16,Somebody That I Used To Know,Gotye Featuring Kimbra,22,
2012-06-09,Somebody That I Used To Know,Gotye Featuring Kimbra,21,
2012-06-02,Somebody That I Used To Know,Gotye Featuring Kimbra,20,
2012-05-26,Somebody That I Used To Know,Gotye Featuring Kimbra,19,
2012-05-19,Somebody That I Used To Know,Gotye Featuring Kimbra,18,
